DATAFLOW,LAST UPDATE,freq,unit,na_item,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:SDG_08_10(1.0),29/11/21 23:00:00,A,CLV10_EUR_HAB,B1GQ,AT,2004,33200,
ESTAT:SDG_08_10(1.0),29/11/21 23:00:00,A,CLV10_EUR_HAB,B1GQ,AT,2005,33710,
ESTAT:SDG_08_10(1.0),29/11/21 23:00:00,A,CLV10_EUR_HAB,B1GQ,AT,2006,34700,
ESTAT:SDG_08_10(1.0),29/11/21 23:00:00,A,CLV10_EUR_HAB,B1GQ,AT,2007,35870,
ESTAT:SDG_08_10(1.0),29/11/21 23:00:00,A,CLV10_EUR_HAB,B1GQ,AT,2008,36280,
ESTAT:SDG_08_10(1.0),29/11/21 23:00:00,A,CLV10_EUR_HAB,B1GQ,AT,2009,34830,
ESTAT:SDG_08_10(1.0),29/11/21 23:00:00,A,CLV10_EUR_HAB,B1GQ,AT,2010,35390,
ESTAT:SDG_08_10(1.0),29/11/21 23:00:00,A,CLV10_EUR_HAB,B1GQ,AT,2011,36300,
ESTAT:SDG_08_10(1.0),29/11/21 23:00:00,A,CLV10_EUR_HAB,B1GQ,AT,2012,36390,
ESTAT:SDG_08_10(1.0),29/11/21 23:00:00,A,CLV10_EUR_HAB,B1GQ,AT,2013,36180,
ESTAT:SDG_08_10(1.0),29/11/21 23:00:00,A,CLV10_EUR_HAB,B1GQ,AT,2014,36130,
ESTAT:SDG_08_10(1.0),29/11/21 23:00:00,A,CLV10_EUR_HAB,B1GQ,AT,2015,36140,
ESTAT:SDG_08_10(1.0),29/11/21 23:00:00,A,CLV10_EUR_HAB,B1GQ,AT,2016,36390,
ESTAT:SDG_08_10(1.0),29/11/21 23:00:00,A,CLV10_EUR_HAB,B1GQ,AT,2017,36980,
ESTAT:SDG_08_10(1.0),29/11/21 23:00:00,A,CLV10_EUR_HAB,B1GQ,AT,2018,37720,
